qed,SAS,logP,src,rings,weight,csp3,hallkier,laputeASA,alicarbo,alihetero,alirings,amidebonds,arocarbo,arohetero,arorings,stereocenter,bridgehead,hba,hbd,rotatable
0.7956301,4.932386,3.4435067,0,5,208.125200512,0.5,-1.04,96.42581484739551,5,0,5,0,0,0,0,3,0,0,0,0
0.7734799,4.032098,2.6901765,0,4,233.141578848,0.7142857142857143,-0.8,101.20175600275623,2,1,3,0,0,1,1,5,0,3,2,1
0.7794669,4.635662,2.3136892,0,4,198.115698448,0.46153846153846156,-1.3099999999999998,89.32290462706297,2,1,3,0,0,1,1,3,0,2,0,0
0.8125307,3.3196976,1.7158688,0,2,237.097663348,0.9,-0.78,91.33360347227796,1,1,2,0,0,0,0,3,0,3,1,1
0.82461315,3.5847516,2.3607116,0,4,236.15247788,0.8461538461538461,-1.06,101.82131493901994,3,1,4,1,0,0,0,6,2,3,1,0
0.81453335,4.4795866,2.1181252,0,3,235.157228912,0.7857142857142857,-0.8300000000000001,102.21423051194361,3,0,3,0,0,0,0,5,2,3,2,0
0.7710583,2.7417917,1.5953274,0,2,234.100442308,0.3333333333333333,-2.04,98.92116804926631,0,1,1,0,0,1,1,0,0,5,1,0
0.8105949,4.531635,1.4750317,0,3,225.136493468,0.9166666666666666,-0.6100000000000001,95.28749454484156,2,1,3,0,0,0,0,5,2,4,2,2
0.804963,3.5623763,2.192723,0,3,226.110613068,0.42857142857142855,-1.8199999999999998,100.72198944358543,1,1,2,0,0,1,1,3,2,3,1,0
0.8119605,2.8006325,1.745238,0,2,234.136827816,0.6153846153846154,-1.29,101.42441428698088,0,1,1,0,0,1,1,2,0,4,0,1
0.78634214,4.667244,1.8341709,0,4,214.110613068,0.5384615384615384,-1.38,94.53270397821068,2,2,4,0,0,0,0,4,0,3,0,0
0.69206464,2.5920396,-0.71926403,0,2,291.911968612,0.0,-2.2,101.31278254278924,1,1,2,0,0,0,0,0,0,6,0,1
0.69011486,3.084955,1.8855683,0,2,174.115698448,0.2727272727272727,-1.44,78.56995479359315,0,1,1,0,0,1,1,0,0,2,1,2
0.783052,4.6033688,1.6936055,0,4,221.141578848,0.8461538461538461,-0.37999999999999995,96.18258139690946,1,3,4,0,0,0,0,5,0,3,1,0
0.7827064,3.835499,1.53584,0,2,207.17354767199998,0.9166666666666666,-0.5900000000000001,92.23425602781857,1,1,2,0,0,0,0,5,2,3,1,0
0.82339525,3.6966002,2.5591059,0,2,223.19361442,0.8571428571428571,-0.34,99.12632911154678,1,1,2,0,0,0,0,3,0,2,2,0
0.82274234,3.356942,2.7324696,0,3,223.19361442,1.0,-0.08,99.02007247679715,2,1,3,0,0,0,0,3,2,2,1,1
0.797998,3.7169127,2.3280265,0,2,218.130679816,0.5714285714285714,-1.04,96.99963451712063,1,1,2,0,0,0,0,3,2,2,1,0
